rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G1 & G8	4	2	0.0	G1, G8	2	49
2	G1 & G8	4	2	0.0	G1, G8	2	49
3	G1 & G8	4	2	0.0	G1, G8	2	49
4	G1 & G8	4	2	0.0	G1, G8	2	49
5	G1 & G8	4	2	0.0	G1, G8	2	49
6	G1 & G8	4	2	0.0	G1, G8	2	49
7	~G10 & ~G7	4	2	0.0	G10, G7	2	49
8	G1 & (G8 | ~G4)	4	3	0.0	G1, G4, G8	3	49
9	G1 & G8	4	2	0.0	G1, G8	2	49
10	G1 & G8	4	2	0.0	G1, G8	2	49
11	G1 & G8	4	2	0.0	G1, G8	2	49
12	G1 & G8	4	2	0.0	G1, G8	2	49
13	G1 & G8	4	2	0.0	G1, G8	2	49
14	G1 & G8	4	2	0.0	G1, G8	2	49
15	G1 & G8	4	2	0.0	G1, G8	2	49
16	G1 & G8	4	2	0.0	G1, G8	2	49
17	G1 & G8	4	2	0.0	G1, G8	2	49
18	G1 & G8	4	2	0.0	G1, G8	2	49
19	G1 & G8	4	2	0.0	G1, G8	2	49
20	G1 & G8	4	2	0.0	G1, G8	2	49
21	~G7	4	1	0.5	G7	1	49
22	G5 & G8	3	2	0.0	G5, G8	2	49
23	G8 & G9	3	2	0.0	G8, G9	2	49
24	G8 & G9	3	2	0.0	G8, G9	2	49
25	G1	3	1	0.5	G1	1	49
26	G1 & G10 & G8	3	3	0.0	G1, G10, G8	3	49
27	G10 & G8	3	2	0.0	G10, G8	2	49
28	G4 & G8	3	2	0.0	G4, G8	2	49
29	G1	3	1	0.5	G1	1	49
30	G1	3	1	0.5	G1	1	49
31	G8	3	1	0.5	G8	1	49
32	G1	3	1	0.5	G1	1	49
33	G1	3	1	0.5	G1	1	49
34	G1	3	1	0.5	G1	1	49
35	G8	3	1	0.5	G8	1	49
36	G8	3	1	0.5	G8	1	49
37	G10 & G2 & G5 & G6 & G7	3	5	1.0	G10, G2, G5, G6, G7	5	49
38	G8 & ~G1 & ~G4	2	3	0.0	G1, G4, G8	3	49
39	G1 & G5	2	2	0.0	G1, G5	2	49
40	G10 & G5	2	2	0.0	G10, G5	2	49
41	G1 | G8	2	2	0.0	G1, G8	2	49
42	G4 & G6 & G9	2	3	0.0	G4, G6, G9	3	49
43	G1 & (G10 | G9)	2	3	0.0	G1, G10, G9	3	49
44	G3 & G6	2	2	0.0	G3, G6	2	49
45	G1 & G5	2	2	0.0	G1, G5	2	49
46	G1 & G3 & G6 & G9	2	4	0.5	G1, G3, G6, G9	4	49
47	G10	2	1	0.5	G10	1	49
48	~G4	2	1	0.5	G4	1	49
49	G6 | G9	1	2	0.0	G6, G9	2	49
50	~G1	1	1	0.5	G1	1	49
